loan_amount,sanction_amount,net_disbursement,processing_fee,gst,income,bank_balance_at_application,employment_status,marital_status,zipcode,residence_type,age,loan_purpose,installment_start_dt,disbursal_date,principal_outstanding,default,diff,pct,valid_loan,valid_gst,valid_net_disbursement,valid_principal_outstanding,valid_bank_balance
188484,202963,258766,990.85,616.23,81079,34979,Unemployed,Divorced,90366,Rented,40,Business,2029-06-15,2029-05-15,53564,0,-1.57,0.25,True,False,False,True,False
316471,256535,132239,1173.33,257.14,104218,40197,Unemployed,Divorced,88030,Owned,26,Home,2029-06-16,2029-05-16,287876,0,1.8,0.54,True,False,True,False,False
126590,138948,67922,3125.05,559.14,132599,64323,Unemployed,Married,79344,Rented,27,Business,2029-06-17,2029-05-17,94136,0,0.34,0.61,True,True,False,False,True
296222,462520,431729,1249.13,353.06,127517,81380,Salaried,Single,67429,Parental,63,Education,2029-06-18,2029-05-18,313504,0,0.6,0.85,True,False,False,True,True
72980,239028,378349,4496.7,376.88,104295,85151,Self-employed,Divorced,11882,Parental,55,Education,2029-06-19,2029-05-19,363605,1,0.68,0.15,True,False,False,False,True
139266,459630,318046,1638.51,208.23,137837,54865,Salaried,Single,54384,Parental,39,Education,2029-06-20,2029-05-20,286458,0,0.28,0.84,False,False,False,True,True
404156,174370,284078,4668.13,432.83,135030,52553,Unemployed,Single,29333,Parental,26,Education,2029-06-21,2029-05-21,349295,0,-0.81,0.67,False,False,False,False,False
258761,366399,373335,3476.81,486.93,69106,24465,Unemployed,Single,69506,Parental,43,Home,2029-06-22,2029-05-22,143585,0,1.31,0.02,True,True,True,True,False
261010,281916,281665,4860.48,452.34,140241,91964,Salaried,Single,83796,Rented,38,Home,2029-06-23,2029-05-23,113069,0,0.7,0.99,False,False,False,False,False
218798,277008,117606,2493.51,209.76,71445,24859,Self-employed,Single,98181,Parental,31,Car,2029-06-24,2029-05-24,185543,0,0.46,0.99,True,True,False,True,False
179614,314648,77829,3067.44,880.74,89635,12343,Self-employed,Single,21326,Parental,23,Education,2029-06-25,2029-05-25,156240,0,1.33,0.78,False,False,False,False,True
79585,183893,51195,3412.69,883.76,92678,44143,Self-employed,Single,47331,Rented,41,Home,2029-06-26,2029-05-26,318238,0,0.42,0.63,True,True,True,False,True
485464,76788,47986,2240.1,452.68,19186,54253,Unemployed,Single,11289,Rented,29,Education,2029-06-27,2029-05-27,243063,0,0.32,0.88,False,False,True,True,False
260987,374597,75018,708.38,827.32,93885,63913,Self-employed,Single,10180,Parental,28,Car,2029-06-28,2029-05-28,214426,0,-0.45,0.69,True,True,False,True,False
217425,340319,463985,4795.81,439.8,53504,81640,Salaried,Single,79891,Parental,40,Business,2029-06-29,2029-05-29,102591,0,0.93,0.32,False,False,True,True,True
347168,360073,371877,4742.5,336.13,101592,8586,Unemployed,Single,93351,Owned,36,Business,2029-06-30,2029-05-30,277650,1,0.87,0.56,True,True,True,True,False
364372,262518,109442,3879.57,433.76,52595,54361,Salaried,Divorced,77489,Parental,54,Home,2029-07-01,2029-05-31,223382,0,-1.6,0.9,False,True,True,True,False
401800,271390,310013,1245.89,312.41,21358,75072,Self-employed,Divorced,36263,Owned,24,Home,2029-07-02,2029-06-01,148539,0,-0.16,0.59,True,False,False,False,False
280801,121974,364769,656.22,290.98,149184,76146,Unemployed,Married,93323,Owned,22,Education,2029-07-03,2029-06-02,38734,0,0.8,0.04,False,True,False,True,False
276075,462507,147084,2379.05,592.14,101312,94080,Unemployed,Divorced,82490,Rented,29,Home,2029-07-04,2029-06-03,289603,0,0.94,0.51,False,False,False,True,True
277290,157574,318021,2237.53,217.77,146966,58155,Salaried,Single,18303,Parental,53,Home,2029-07-05,2029-06-04,265634,0,0.53,0.11,False,False,False,True,False
427468,229177,455840,4154.41,321.58,92905,28840,Unemployed,Single,89056,Rented,50,Home,2029-07-06,2029-06-05,92395,1,-1.17,0.82,False,False,True,True,False
187564,402982,415064,4285.05,846.02,76855,9575,Salaried,Divorced,18216,Rented,40,Home,2029-07-07,2029-06-06,134814,0,0.25,0.15,False,True,True,False,True
354635,344901,452395,4786.9,107.85,32517,19923,Salaried,Divorced,37314,Owned,41,Education,2029-07-08,2029-06-07,22995,0,-0.91,0.02,True,True,False,True,False
284316,272249,293187,2458.07,431.9,26577,52801,Self-employed,Single,85451,Parental,43,Business,2029-07-09,2029-06-08,360455,0,-2.47,0.61,True,False,True,True,True
383665,200607,315777,3725.83,155.9,14326,87352,Salaried,Married,95593,Owned,36,Home,2029-07-10,2029-06-09,367829,0,-1.42,0.65,False,True,False,True,True
148379,138188,430377,3140.08,255.95,88800,42600,Unemployed,Divorced,65404,Rented,55,Home,2029-07-11,2029-06-10,30946,1,0.26,0.22,False,False,True,False,False
80462,218348,141658,3115.37,852.87,52909,97802,Self-employed,Married,97128,Owned,43,Business,2029-07-12,2029-06-11,352378,0,-0.33,0.3,False,False,False,True,False
156976,308278,138460,2585.0,440.29,103347,45953,Self-employed,Divorced,27722,Rented,47,Business,2029-07-13,2029-06-12,24632,0,-0.4,0.76,True,True,False,True,True
283905,277549,479604,4011.9,575.89,11247,19076,Salaried,Single,80305,Owned,26,Education,2029-07-14,2029-06-13,98308,0,-0.14,0.52,False,True,False,True,False
424361,224369,121374,853.71,457.31,52710,51201,Salaried,Single,16375,Parental,21,Home,2029-07-15,2029-06-14,305833,0,-0.77,0.5,False,True,False,True,False
429140,425070,106331,4605.18,380.58,127715,64573,Salaried,Single,11234,Parental,35,Education,2029-07-16,2029-06-15,347752,0,-0.43,0.8,False,False,True,False,False
185033,436682,54951,1616.89,377.45,96173,74968,Salaried,Married,13319,Owned,52,Business,2029-07-17,2029-06-16,65298,0,0.16,0.77,False,False,True,False,True
300556,497675,95376,2093.88,848.0,26998,67019,Unemployed,Divorced,68227,Owned,25,Home,2029-07-18,2029-06-17,226409,0,2.26,0.62,False,False,True,False,False
387691,404912,52845,677.52,899.72,52962,17014,Self-employed,Married,43113,Parental,49,Business,2029-07-19,2029-06-18,7711,0,-0.91,0.23,True,False,False,True,False
109183,256629,281928,4720.76,425.85,72721,82789,Unemployed,Married,17722,Rented,29,Car,2029-07-20,2029-06-19,213925,0,0.56,0.47,True,True,True,True,False
435267,341830,61691,2928.86,690.08,54636,38779,Unemployed,Married,37419,Parental,34,Home,2029-07-21,2029-06-20,72924,0,-0.9,0.26,True,True,False,True,True
294560,230327,321325,4911.06,858.15,58163,62036,Unemployed,Single,33029,Parental,36,Car,2029-07-22,2029-06-21,292657,0,-0.88,0.22,False,False,True,True,True
403360,333819,66781,668.31,246.85,41142,85898,Salaried,Single,44174,Owned,40,Car,2029-07-23,2029-06-22,363161,0,1.04,0.95,True,True,False,False,True
122163,200300,73665,576.63,167.78,93910,96268,Salaried,Single,31607,Owned,23,Home,2029-07-24,2029-06-23,353347,0,-1.47,0.33,False,True,True,False,False
146180,191088,464274,1950.47,869.37,32516,12691,Self-employed,Single,59008,Owned,43,Home,2029-07-25,2029-06-24,151321,0,-0.07,0.31,True,True,True,True,False
353548,77675,61461,3190.12,590.71,61541,28313,Self-employed,Married,92022,Parental,37,Home,2029-07-26,2029-06-25,246490,1,0.07,0.26,False,True,True,True,False
297508,172863,221454,1990.97,828.73,77303,77961,Salaried,Single,55632,Parental,57,Home,2029-07-27,2029-06-26,370613,0,0.43,0.26,False,False,False,False,False
179412,168776,316733,4303.84,541.1,37438,42712,Unemployed,Single,60921,Owned,58,Education,2029-07-28,2029-06-27,218385,0,-0.98,0.04,False,False,True,False,True
169215,310387,83071,3942.82,815.69,148850,19963,Self-employed,Divorced,61708,Parental,52,Education,2029-07-29,2029-06-28,20999,1,-0.01,0.56,True,False,False,True,True
163145,475315,385793,1409.05,311.41,75537,53188,Unemployed,Married,79252,Parental,43,Car,2029-07-30,2029-06-29,57163,0,0.32,0.73,False,False,False,True,False
415817,399213,250962,1304.02,690.78,94779,59297,Unemployed,Single,95808,Parental,55,Education,2029-07-31,2029-06-30,180126,0,-0.47,0.77,False,False,False,True,False
251788,380807,173925,1740.18,269.81,62960,62507,Self-employed,Single,63430,Rented,24,Home,2029-08-01,2029-07-01,252729,1,0.45,0.57,False,False,True,True,True
335352,256418,199746,2591.82,206.22,32693,95729,Unemployed,Divorced,52459,Owned,48,Business,2029-08-02,2029-07-02,78785,0,0.32,0.3,False,False,False,False,False
453437,271373,247423,4665.07,259.49,104870,14012,Salaried,Divorced,14657,Parental,35,Car,2029-08-03,2029-07-03,264078,0,-0.28,0.45,False,False,True,False,False
265804,320513,144084,2243.8,631.08,111448,81300,Salaried,Married,20075,Parental,39,Education,2029-08-04,2029-07-04,98987,0,-1.16,0.61,True,False,True,True,False
51249,286628,234651,2069.28,246.2,76886,7000,Unemployed,Married,66774,Owned,42,Education,2029-08-05,2029-07-05,188771,0,0.58,0.99,False,True,False,False,False
156391,465938,409701,2708.22,376.66,123376,23777,Unemployed,Single,36442,Parental,41,Business,2029-08-06,2029-07-06,198467,0,2.21,0.39,False,True,False,False,False
122600,304651,410310,2345.53,441.34,141508,77334,Unemployed,Divorced,73152,Owned,42,Home,2029-08-07,2029-07-07,206560,0,2.95,0.63,False,False,True,True,True
439594,84955,46499,717.79,788.14,33546,30037,Unemployed,Single,30286,Parental,33,Business,2029-08-08,2029-07-08,396997,1,1.27,0.66,False,False,False,True,True
81109,356508,368000,1885.39,122.27,64071,73525,Unemployed,Divorced,32032,Rented,35,Business,2029-08-09,2029-07-09,79848,0,0.83,0.95,False,False,False,False,False
435987,226077,453921,3603.52,475.55,77460,22201,Self-employed,Married,94156,Owned,22,Business,2029-08-10,2029-07-10,205770,0,-1.3,0.45,True,False,False,False,False
413116,464298,451694,849.06,810.55,95378,8263,Unemployed,Single,84297,Rented,44,Home,2029-08-11,2029-07-11,42359,0,-1.53,0.66,False,False,True,False,True
82584,460535,223368,3220.63,373.51,93669,79750,Self-employed,Married,19156,Owned,47,Business,2029-08-12,2029-07-12,81118,0,0.1,0.29,True,True,False,False,True
364120,302441,105718,4185.34,158.49,125661,43448,Salaried,Married,10911,Rented,27,Education,2029-08-13,2029-07-13,326432,0,0.17,0.07,True,False,False,True,True
348462,366897,394384,4328.18,96.31,91237,42027,Self-employed,Single,49899,Rented,50,Car,2029-08-14,2029-07-14,337761,0,-0.17,0.25,True,False,True,True,False
327978,200349,60681,2680.71,663.75,147931,21108,Unemployed,Married,80837,Owned,59,Business,2029-08-15,2029-07-15,109514,0,-0.01,0.29,False,True,False,False,False
441526,315239,200573,3830.28,273.54,137312,24949,Self-employed,Single,15544,Owned,27,Education,2029-08-16,2029-07-16,203760,0,0.22,0.69,False,False,True,False,True
119030,379560,220633,3426.05,629.56,111745,82157,Self-employed,Divorced,72754,Rented,54,Car,2029-08-17,2029-07-17,62386,0,-0.74,0.94,False,True,False,False,False
58508,443978,312078,4769.39,343.09,38856,3477,Self-employed,Single,40301,Parental,50,Business,2029-08-18,2029-07-18,333509,0,0.09,0.79,False,False,False,True,False
254238,236391,116884,4463.94,685.94,59097,15306,Self-employed,Single,53418,Owned,57,Home,2029-08-19,2029-07-19,141645,0,-0.47,0.72,True,True,False,False,True
248897,476657,153912,4332.82,91.7,81579,19797,Unemployed,Single,68845,Owned,40,Car,2029-08-20,2029-07-20,103806,0,-1.13,0.38,True,False,False,True,True
307698,272819,415068,3743.56,272.35,99870,46366,Unemployed,Divorced,90063,Parental,53,Education,2029-08-21,2029-07-21,40979,0,1.32,0.55,False,True,False,True,True
328552,325604,72580,922.75,783.43,53210,15564,Unemployed,Married,83278,Owned,57,Education,2029-08-22,2029-07-22,130938,0,-0.23,0.27,False,False,True,True,True
111987,143219,440545,4655.64,358.21,110162,3593,Salaried,Divorced,21192,Rented,46,Car,2029-08-23,2029-07-23,222167,0,0.66,0.68,False,True,True,False,True
174202,97775,324320,1749.43,752.76,79526,33720,Unemployed,Married,88080,Owned,39,Education,2029-08-24,2029-07-24,276056,0,0.08,0.63,False,True,False,False,True
221709,332118,376102,2353.83,705.9,50715,10684,Unemployed,Single,50117,Parental,38,Education,2029-08-25,2029-07-25,29843,0,0.78,0.61,False,True,True,False,False
347049,123254,211520,1891.97,490.17,79258,6334,Self-employed,Single,72644,Rented,54,Education,2029-08-26,2029-07-26,274821,0,-0.04,0.44,True,False,False,False,False
161978,391415,432518,3743.46,142.7,104667,64458,Unemployed,Divorced,55583,Parental,60,Home,2029-08-27,2029-07-27,235147,0,0.79,0.55,True,True,False,True,True
253679,140618,290030,3271.81,808.61,26678,78612,Salaried,Married,13407,Rented,22,Car,2029-08-28,2029-07-28,290770,0,-0.49,0.5,False,True,True,True,False
238226,72456,49835,2407.31,447.82,86660,78748,Salaried,Divorced,96588,Parental,52,Home,2029-08-29,2029-07-29,232227,1,-0.91,0.37,True,False,True,False,True
311934,159145,225751,1297.28,271.7,111269,3203,Self-employed,Divorced,14252,Parental,57,Home,2029-08-30,2029-07-30,377013,0,-1.17,0.36,False,True,False,True,True
169175,205924,177458,1186.33,446.3,20127,10004,Unemployed,Single,17712,Owned,21,Car,2029-08-31,2029-07-31,286846,0,-0.56,0.01,True,True,False,True,True
426451,245266,114457,3906.29,219.98,115747,99828,Self-employed,Married,36458,Parental,56,Home,2029-09-01,2029-08-01,374473,0,0.31,0.19,True,False,True,False,True
317047,163317,292860,831.97,110.83,144019,31318,Self-employed,Married,52206,Parental,55,Business,2029-09-02,2029-08-02,290130,0,0.71,0.98,True,False,True,False,True
116740,341040,379035,4346.09,455.88,125074,58101,Unemployed,Divorced,24331,Rented,29,Education,2029-09-03,2029-08-03,282153,1,0.75,0.91,False,True,False,False,False
146597,259763,422434,4119.99,534.77,125257,49302,Unemployed,Single,81604,Rented,61,Education,2029-09-04,2029-08-04,36333,0,-1.11,0.45,True,True,False,True,False
117096,418672,315681,536.92,884.14,103795,99208,Unemployed,Married,72351,Rented,44,Business,2029-09-05,2029-08-05,199718,0,-0.55,0.43,True,False,False,True,True
148696,163795,269443,4249.41,307.9,139377,62791,Unemployed,Married,57356,Parental,30,Car,2029-09-06,2029-08-06,370720,0,2.42,0.74,False,True,True,True,False
218391,371710,317889,2138.27,770.2,81628,11307,Unemployed,Single,48894,Owned,48,Home,2029-09-07,2029-08-07,34795,0,-0.33,0.72,False,False,False,True,False
312039,417039,142003,3762.45,746.0,89317,60977,Salaried,Divorced,77195,Rented,47,Home,2029-09-08,2029-08-08,147350,1,-0.09,0.04,True,False,True,True,False
262399,108227,151674,4569.35,543.21,69775,95250,Self-employed,Married,36813,Owned,42,Business,2029-09-09,2029-08-09,287186,0,0.7,0.16,False,False,True,True,True
231552,303545,392716,2726.59,234.02,130573,3956,Unemployed,Married,63119,Parental,34,Business,2029-09-10,2029-08-10,338753,0,-0.48,0.1,True,True,True,True,True
357386,206289,466212,2931.2,656.65,51981,23267,Salaried,Single,48299,Rented,58,Education,2029-09-11,2029-08-11,7949,0,1.24,0.31,False,False,True,True,True
199922,63901,315969,4783.97,490.28,61997,95007,Salaried,Single,45040,Parental,62,Business,2029-09-12,2029-08-12,116873,0,0.8,0.86,False,True,True,True,False
126324,293223,470231,4877.76,827.28,12686,34841,Self-employed,Married,61992,Parental,51,Car,2029-09-13,2029-08-13,167967,0,0.55,0.57,False,True,False,True,False
358272,161759,56248,3693.43,395.35,31751,29097,Self-employed,Divorced,39175,Owned,64,Car,2029-09-14,2029-08-14,249755,0,-0.82,0.6,False,False,True,True,False
404731,385896,422897,1657.14,884.99,110821,99388,Self-employed,Single,11191,Parental,33,Business,2029-09-15,2029-08-15,18228,1,-0.77,0.74,False,False,False,False,False
471696,405885,446648,664.98,552.3,83641,54538,Salaried,Married,88492,Rented,25,Education,2029-09-16,2029-08-16,282448,1,0.56,0.67,False,True,False,False,False
134925,435081,276297,4275.46,897.19,101495,81870,Salaried,Married,28181,Rented,50,Home,2029-09-17,2029-08-17,243479,0,-0.58,0.3,True,False,False,False,False
422181,273974,219776,1362.17,420.31,114029,21600,Salaried,Married,34971,Parental,60,Home,2029-09-18,2029-08-18,373236,0,-0.71,0.78,True,True,True,True,False
405144,200827,205098,4005.09,216.27,27995,54455,Unemployed,Single,35007,Rented,56,Home,2029-09-19,2029-08-19,1102,0,-0.09,0.22,True,False,False,True,False
403082,73554,84091,2032.52,268.36,114860,54842,Salaried,Married,82985,Rented,54,Education,2029-09-20,2029-08-20,270953,0,0.08,0.17,True,True,False,True,False
238401,225012,336333,4617.81,558.4,14645,93018,Unemployed,Divorced,78409,Parental,26,Car,2029-09-21,2029-08-21,322974,0,0.46,0.14,True,True,True,True,True
116963,289984,125538,759.71,195.6,68706,75756,Unemployed,Single,85349,Owned,62,Business,2029-09-22,2029-08-22,125092,0,0.63,0.87,False,False,False,True,True
449610,352765,228080,1243.97,425.12,85476,7166,Self-employed,Divorced,79517,Parental,21,Home,2029-09-23,2029-08-23,8827,0,0.19,0.98,True,False,False,True,False
199523,249205,49829,1552.74,617.07,30909,37290,Self-employed,Married,11563,Rented,37,Business,2029-09-24,2029-08-24,71428,0,-0.32,0.58,False,True,True,False,False
474393,183862,394501,3931.88,679.21,107653,39034,Unemployed,Single,57804,Rented,36,Business,2029-09-25,2029-08-25,223722,0,1.02,0.19,True,False,True,False,True
189900,378112,168148,1273.56,511.13,117498,27141,Unemployed,Divorced,31939,Parental,27,Home,2029-09-26,2029-08-26,95458,0,0.87,0.37,True,True,True,True,False
52848,272021,471010,1876.98,664.99,11742,4180,Salaried,Divorced,95806,Owned,61,Home,2029-09-27,2029-08-27,370145,0,-1.19,0.74,False,False,True,False,True
113445,329387,52153,3322.14,513.9,85279,6518,Self-employed,Married,67965,Parental,41,Education,2029-09-28,2029-08-28,91267,0,0.55,0.77,False,True,False,True,False
475501,146965,440183,1084.93,738.1,64759,46859,Unemployed,Divorced,25386,Rented,44,Car,2029-09-29,2029-08-29,387020,1,-1.0,0.57,False,True,True,False,True
464585,296744,190746,3283.93,609.29,108305,15907,Salaried,Single,85611,Owned,41,Home,2029-09-30,2029-08-30,302791,0,-0.42,0.6,True,False,False,False,False
187965,199512,163330,958.36,774.76,12657,33134,Salaried,Married,69171,Rented,56,Car,2029-10-01,2029-08-31,237224,0,1.15,0.3,False,False,True,True,True
467705,499575,378646,2572.01,721.53,50870,51500,Unemployed,Divorced,17399,Owned,25,Home,2029-10-02,2029-09-01,38730,0,-1.36,0.28,True,True,False,False,False
457340,155260,404324,4035.68,132.59,49562,8010,Self-employed,Single,84968,Parental,30,Car,2029-10-03,2029-09-02,148898,1,-1.09,0.59,True,True,True,False,False
392027,225565,366711,3344.7,126.35,13618,63763,Salaried,Married,90502,Rented,64,Home,2029-10-04,2029-09-03,154907,0,-0.21,0.87,False,True,True,True,False
436536,443536,314629,3863.91,177.22,52836,57933,Unemployed,Divorced,78270,Parental,61,Education,2029-10-05,2029-09-04,213597,0,0.82,0.95,True,True,True,False,False
303315,260898,130314,4657.44,239.32,25040,28855,Unemployed,Married,39542,Owned,28,Home,2029-10-06,2029-09-05,80351,0,0.28,0.05,True,True,True,False,False
368312,471110,371467,4059.55,222.89,119040,1047,Self-employed,Married,86917,Rented,29,Business,2029-10-07,2029-09-06,271449,0,1.26,0.54,False,False,True,False,True
50184,355261,236203,644.84,189.97,109128,91234,Salaried,Divorced,74483,Owned,27,Home,2029-10-08,2029-09-07,193007,0,0.01,0.34,True,True,False,True,True
421096,206167,75712,3942.52,505.1,41797,19674,Self-employed,Divorced,52892,Parental,50,Business,2029-10-09,2029-09-08,287372,0,0.82,0.67,True,False,True,False,False
349405,113305,267453,2743.43,151.75,106057,40992,Unemployed,Divorced,19185,Parental,30,Business,2029-10-10,2029-09-09,250876,0,0.13,0.99,False,False,True,False,False
216442,69995,311617,920.26,117.95,44020,60602,Salaried,Married,18301,Owned,33,Car,2029-10-11,2029-09-10,210673,0,0.05,0.27,True,True,True,False,False
419870,108145,364921,4284.19,610.31,119230,23417,Salaried,Married,75452,Rented,24,Education,2029-10-12,2029-09-11,223959,0,-0.19,0.29,True,False,True,True,True
323582,162659,289746,1575.25,374.2,101268,70477,Self-employed,Single,92613,Parental,27,Business,2029-10-13,2029-09-12,147512,1,-0.95,0.48,False,False,False,True,False
310462,452660,368229,2018.11,310.84,105107,76035,Salaried,Married,76173,Rented,40,Car,2029-10-14,2029-09-13,247087,0,0.03,0.8,True,False,True,False,True
248742,245717,103501,1016.12,875.64,38477,66332,Salaried,Divorced,29877,Parental,22,Home,2029-10-15,2029-09-14,299841,0,-0.43,0.09,False,False,False,False,False
346428,198480,97841,1617.89,679.54,45895,71147,Salaried,Single,30457,Rented,28,Home,2029-10-16,2029-09-15,198397,0,0.24,0.04,False,True,False,False,False
62419,473638,441840,4144.48,183.33,120202,67845,Unemployed,Married,55096,Owned,55,Business,2029-10-17,2029-09-16,192713,0,-0.84,0.43,False,False,True,True,False
291658,474614,189864,3476.76,253.6,44654,94963,Salaried,Married,19092,Rented,48,Business,2029-10-18,2029-09-17,188879,1,-0.29,0.79,True,True,True,False,False
185944,352608,272226,2463.18,247.59,10833,25981,Unemployed,Married,40681,Owned,48,Business,2029-10-19,2029-09-18,38196,0,0.02,0.67,True,False,True,True,False
403503,66940,268665,4672.44,712.0,127493,69954,Self-employed,Single,13141,Owned,31,Home,2029-10-20,2029-09-19,286763,0,-2.5,0.09,False,False,True,True,True
415567,265688,54240,1564.26,394.6,24530,98527,Unemployed,Married,50721,Parental,29,Business,2029-10-21,2029-09-20,20453,0,0.5,0.05,False,True,True,False,False
351719,367005,354925,976.63,268.74,85834,70217,Salaried,Married,27397,Parental,23,Business,2029-10-22,2029-09-21,389114,0,0.88,0.08,True,False,True,False,False
381408,406311,392545,3424.92,449.99,94319,81063,Salaried,Divorced,72733,Owned,63,Home,2029-10-23,2029-09-22,42321,0,-0.42,0.91,False,True,True,True,False
265082,264185,462282,3148.76,207.29,45329,21993,Self-employed,Single,71496,Rented,29,Car,2029-10-24,2029-09-23,183979,0,0.11,0.04,False,True,False,False,False
168266,321517,42736,3705.34,437.84,26639,85310,Unemployed,Divorced,74705,Rented,50,Car,2029-10-25,2029-09-24,261085,0,-0.68,0.17,False,True,True,True,False
341739,418044,436901,2889.24,132.8,68505,94493,Unemployed,Divorced,20498,Parental,23,Car,2029-10-26,2029-09-25,181604,0,1.39,0.99,False,True,True,True,False
431059,254027,224170,1397.68,627.16,51829,48937,Self-employed,Single,16569,Rented,61,Education,2029-10-27,2029-09-26,38150,0,0.12,0.93,False,True,True,False,False
233381,367640,288081,1327.96,771.66,137508,36730,Salaried,Single,64425,Owned,53,Business,2029-10-28,2029-09-27,176688,0,0.76,0.3,False,True,True,True,True
296926,489139,423258,4941.76,823.54,74059,69101,Unemployed,Married,43343,Rented,34,Education,2029-10-29,2029-09-28,236531,0,0.06,0.82,False,True,True,False,False
212074,71570,301207,823.38,169.86,37581,16400,Salaried,Single,82035,Rented,30,Business,2029-10-30,2029-09-29,392423,0,0.3,0.91,False,True,False,False,True
123223,166067,264895,853.47,274.03,100845,61289,Self-employed,Married,10782,Parental,34,Home,2029-10-31,2029-09-30,230009,0,-0.28,0.73,True,True,False,True,True
58984,186874,435450,4110.76,733.17,17365,81663,Unemployed,Married,48955,Owned,29,Car,2029-11-01,2029-10-01,97192,0,0.21,0.84,True,False,False,True,True
126419,169224,417934,4283.09,646.1,30289,78876,Self-employed,Divorced,14478,Parental,27,Education,2029-11-02,2029-10-02,34581,0,-0.69,0.23,False,False,False,False,True
442041,206752,474609,2841.75,210.5,130613,6812,Self-employed,Divorced,63018,Parental,44,Business,2029-11-03,2029-10-03,299923,0,1.23,1.0,False,False,True,False,False
390046,176131,157851,1543.83,173.47,23125,74534,Salaried,Single,85842,Owned,53,Car,2029-11-04,2029-10-04,217777,1,-1.39,0.82,False,False,True,False,True
210467,274526,132142,1078.14,773.1,65673,90606,Self-employed,Married,79558,Parental,49,Business,2029-11-05,2029-10-05,83317,0,1.83,0.47,False,True,True,False,True
397311,318992,340948,2664.17,202.05,14799,40476,Unemployed,Married,48655,Parental,64,Car,2029-11-06,2029-10-06,99702,0,3.17,0.59,False,True,True,False,False
271773,120874,288158,2407.29,454.69,140923,85943,Salaried,Single,34985,Parental,39,Car,2029-11-07,2029-10-07,195273,0,-0.67,0.52,False,True,True,True,True
146051,428791,339886,1401.38,404.52,146022,54747,Self-employed,Single,42313,Owned,29,Home,2029-11-08,2029-10-08,359387,0,-0.87,0.31,True,True,True,True,True
460337,128909,139289,3021.66,654.31,111173,44674,Unemployed,Divorced,52892,Rented,23,Education,2029-11-09,2029-10-09,49978,0,0.96,0.02,False,True,True,False,False
426967,360552,184627,4218.26,362.22,147657,45528,Unemployed,Single,45529,Rented,54,Car,2029-11-10,2029-10-10,100895,0,0.88,0.4,False,False,False,True,False
236990,285319,475270,3637.67,275.41,141763,39134,Self-employed,Married,57393,Rented,53,Car,2029-11-11,2029-10-11,105603,0,0.08,0.5,False,True,False,False,True
335384,480986,271965,2331.31,782.22,67291,79571,Salaried,Married,45362,Owned,33,Business,2029-11-12,2029-10-12,270046,0,0.2,0.33,True,True,False,False,False
185154,403111,335595,1003.1,714.35,87956,44234,Unemployed,Divorced,41613,Rented,21,Home,2029-11-13,2029-10-13,347620,0,-0.25,0.4,True,True,True,True,True
142173,425374,368722,3030.08,591.49,80710,46268,Unemployed,Divorced,16058,Owned,29,Business,2029-11-14,2029-10-14,375233,0,0.17,0.79,False,False,False,False,True
349885,431003,323908,697.22,318.88,21304,71291,Unemployed,Married,80227,Rented,55,Car,2029-11-15,2029-10-15,353212,0,0.17,0.84,True,True,True,True,True
434082,138684,195549,2408.21,195.02,139258,79451,Salaried,Single,24979,Owned,53,Home,2029-11-16,2029-10-16,225548,0,-2.0,0.97,True,False,True,False,True
194071,66324,418749,4795.94,462.75,10347,6272,Self-employed,Single,93209,Rented,27,Education,2029-11-17,2029-10-17,162773,0,-0.21,0.14,True,True,False,False,True
445705,493643,193103,2247.51,317.87,61114,72272,Self-employed,Single,70033,Parental,57,Business,2029-11-18,2029-10-18,313171,0,-0.24,0.07,True,True,True,True,True
445910,76291,61686,1154.96,553.51,52298,8752,Unemployed,Divorced,57089,Rented,23,Home,2029-11-19,2029-10-19,166032,0,0.81,0.31,True,True,False,True,False
443898,296354,293403,4431.8,123.6,19746,28662,Self-employed,Single,40916,Rented,32,Education,2029-11-20,2029-10-20,41171,0,1.98,0.3,False,True,True,True,True
245140,131556,206974,3178.49,199.26,146156,29148,Self-employed,Married,66820,Parental,62,Education,2029-11-21,2029-10-21,341386,1,-0.8,0.98,False,False,False,False,False
494836,148758,336021,779.79,388.59,43511,86860,Salaried,Divorced,26554,Owned,64,Home,2029-11-22,2029-10-22,259743,0,0.32,0.83,False,True,False,True,True
337524,107972,47244,1529.37,432.22,10253,65368,Unemployed,Divorced,40999,Parental,32,Business,2029-11-23,2029-10-23,23796,0,0.68,0.88,False,True,False,False,True
94663,258392,405588,1170.61,675.7,145111,54055,Unemployed,Married,58913,Parental,27,Car,2029-11-24,2029-10-24,258843,0,-1.96,0.6,True,True,False,True,True
436179,184530,471462,3836.56,741.33,128050,12131,Self-employed,Married,61755,Parental,21,Education,2029-11-25,2029-10-25,239933,0,1.13,0.7,True,True,False,True,True
188286,270587,345793,2269.5,376.5,40951,80623,Unemployed,Divorced,92706,Owned,36,Home,2029-11-26,2029-10-26,106349,0,1.44,0.17,True,False,False,True,False
152765,308398,211339,1624.63,788.19,142031,68860,Unemployed,Divorced,49057,Owned,40,Home,2029-11-27,2029-10-27,204747,0,-0.41,0.29,False,True,False,True,False
361144,473318,424868,3873.49,379.94,35660,84656,Salaried,Divorced,74669,Rented,59,Car,2029-11-28,2029-10-28,222666,0,-0.45,0.11,True,False,False,False,False
